rank,lemma,PoS,DISPERSION,TOT FREQ,SPOKEN,FICTION,POP MAG,NEWSPAPER,ACADEMIC,MAG:News/Opin,MAG:Financial,MAG:Sci/Tech,MAG:Soc/Arts,MAG:Religion,MAG:Sports,MAG:Entertain,MAG:Home/Health,MAG:Afric-Amer,MAG:Children,MAG:Women/Men,NEWS:Misc,NEWS:News_Intl,NEWS:News_Natl,NEWS:News_Local,NEWS:Money,NEWS:Life,NEWS:Sports,NEWS:Editorial,ACAD:History,ACAD:Education,ACAD:Geog/SocSci,ACAD:Law/PolSci,ACAD:Humanities,ACAD:Phil/Rel,ACAD:Sci/Tech,ACAD:Medicine,ACAD:Misc,SPOK:ABC,SPOK:NBC,SPOK:CBS,SPOK:CNN,SPOK:FOX,SPOK:MSNBC,SPOK:PBS,SPOK:NPR,SPOK:Indep,FIC:Gen (Book),FIC:Gen (Jrnl),FIC:SciFi/Fant,FIC:Juvenile,FIC:Movies
1,the,a,0.98,22038906,3859682,4092394,4544271,4284053,5137949,1013746,260789,638387,441561,208652,587686,184044,665394,155880,110449,277683,1419427,256540,332146,301748,360284,736351,631984,245573,803690,409274,893669,573347,701462,424396,817622,293103,221386,669483,203736,514707,905085,237968,39024,327824,800660,161195,923333,1670247,871429,139403,487982
11,I,p,0.93,3978498,1346545,1382716,569402,465379,168243,81278,20985,44869,46122,25421,81779,47149,70243,41230,19419,90907,143925,11129,23362,31017,18642,97125,100088,40091,15691,13509,29577,16327,27339,18637,15420,3231,28512,216020,85655,191392,305613,84258,11875,79359,248076,124297,318258,614447,275531,53524,120956
21,they,p,0.96,1865844,609735,352405,312468,334313,246811,70078,21577,38877,22719,15094,34934,14791,42084,13003,11069,28242,115321,19129,23290,24064,29301,55876,48989,18343,37603,28585,51181,25269,29419,19491,32489,9154,13620,103548,36563,83160,145017,41362,6871,41164,117438,34612,76181,146477,80987,12622,36138
31,she,p,0.91,1485143,212920,798208,194131,192542,57239,31338,6557,11830,14292,5889,8068,19725,20685,22880,8939,43928,73186,5712,15207,19093,8588,50826,13519,6411,6039,5490,11288,3916,13081,4469,3560,2158,7238,35687,23499,38341,37909,13158,2051,5092,29627,27556,227470,353904,136803,32177,47854
41,would,v,0.97,925515,233766,229865,154298,165039,134845,44269,10098,18242,12859,7489,17018,7586,15360,5177,3724,12476,56127,9251,13075,12617,15237,21516,24051,13165,23063,9687,23587,20483,13499,12199,19462,4792,8073,41995,14662,32474,53669,14837,1986,19059,42922,12162,60518,100968,52241,7990,8148
51,one,m,0.98,768232,172827,147159,169241,148422,126354,34419,10951,21970,13361,6340,22381,8088,26641,6369,4854,13867,49476,7539,10068,9539,11645,27504,25243,7408,16536,12091,24007,11708,17539,10152,20537,6832,6952,31000,10436,25615,38678,9410,1613,11148,36024,8903,34255,61135,31600,5431,14738
61,me,p,0.92,709899,180076,320073,101219,69436,29588,16947,3310,7666,6632,5096,12903,8349,10868,8271,3466,17711,22111,1616,3494,4466,2195,14827,14682,6045,2419,2219,5579,2030,5708,3134,2126,517,5856,30398,12218,27064,38284,10419,2068,8644,30592,20389,71202,144969,60720,11998,31184
71,could,v,0.96,617932,119869,207758,107252,99345,76709,25325,8018,14814,9042,3773,12809,5254,11411,3608,3637,9561,33028,4857,7368,6683,9565,14275,17409,6160,12500,5916,12625,9699,8174,6363,12745,3854,4833,21598,8896,18140,26329,6825,1131,7595,23280,6075,52801,87746,51692,7764,7755
81,more,r,0.97,517536,86107,64964,126152,96434,141707,25630,8917,18628,10487,5720,14023,4153,21351,4124,2961,10158,33151,4562,6641,5611,10689,18613,11338,5829,19703,15215,31807,14481,15811,12098,19782,6815,5995,14574,5047,11060,19793,4983,814,7015,19496,3325,15790,25807,16367,2014,4986
91,more,d,0.97,420170,90459,54641,103314,104634,65347,20435,8683,13705,7303,3216,13865,3493,18479,4134,2755,7246,35884,4997,7864,8002,12975,16172,13191,5549,8179,6770,13663,6639,6242,4149,13244,3636,2825,15527,5106,12313,23225,5228,765,7628,16823,3844,13445,20386,14086,1995,4729
101,only,r,0.98,379574,51930,76074,87130,69043,93186,19167,6019,13287,7117,4291,10674,3008,12973,2649,2045,5900,22334,3938,4333,4550,5830,11254,11570,5234,13678,6686,16883,10169,12672,8775,14202,5038,5083,10318,2953,7117,11387,2731,510,4122,10345,2447,17922,32601,18232,2577,4742
111,woman,n,0.98,341422,60731,78706,72887,57294,69531,13886,1417,5602,3069,3994,3248,2956,10316,8860,883,18656,21304,2653,4184,4115,2143,12655,6199,4041,12607,4066,25314,3005,10382,6022,2974,2335,2826,11844,5524,8733,11901,2825,515,3209,10216,5964,20165,37599,11410,2250,7282
121,should,v,0.98,310265,77547,47244,60223,52593,71038,12640,4174,6364,3046,3343,7165,1697,11614,2694,2099,5387,16909,2396,3540,3999,3967,7496,7013,7273,10400,9722,11764,8940,7736,5288,9067,5286,2835,13846,4184,9636,20327,6460,923,6411,11805,3955,11491,18658,10684,1884,4527
131,ask,v,0.96,284632,68414,93681,46133,43080,29489,10107,3068,3723,2214,2516,4704,2492,6048,2092,2301,6868,15260,2263,3482,3322,3013,7228,6034,2478,3217,4426,6767,2395,3629,2781,2793,1327,2154,12683,3954,9310,17280,4633,816,4245,10958,4535,23896,41026,21005,4377,3377
141,high,j,0.96,255936,32168,26812,56847,58139,81210,10476,5059,7440,3463,1460,7944,1969,11817,2363,1282,3574,20539,1981,3902,5138,6025,8753,9067,2734,6836,15234,20129,4634,4652,5191,15133,6818,2583,5220,1726,4365,7925,1744,257,2854,6885,1192,6151,11410,5326,1129,2796
151,put,v,0.96,237480,68277,59445,46213,42678,18797,9259,3897,4153,3018,1468,6265,2356,7089,1988,1801,4919,13820,1827,2608,2858,4018,7784,7299,2464,2994,1112,2842,2584,2740,1705,2720,517,1583,11609,4738,10946,15284,4263,593,4612,12160,4072,13675,25029,10544,2333,7864
161,same,d,0.98,222836,44328,39161,49282,39256,49589,9557,2995,8160,4014,2172,6332,2022,7253,1775,1142,3860,13169,1632,2685,2366,3848,6757,5925,2874,6634,4326,8669,4962,7837,4674,7568,2425,2494,7474,2564,5954,10044,2770,422,3405,9334,2361,8628,16415,8072,1134,4912
171,problem,n,0.96,217728,58392,15717,42234,40014,60684,9151,2805,6639,2532,1699,4028,1106,8035,1581,1157,3501,14803,2225,2992,3089,4444,4794,4616,3051,7777,9952,11451,6629,4209,3884,10174,4992,1616,11661,2665,7061,13789,3785,578,6093,10072,2688,3686,5379,4225,624,1803
181,place,n,0.98,202427,39866,47236,41426,38947,33533,7921,2176,4849,3978,2110,6079,1630,7277,1361,1054,2991,14056,1701,2396,3067,2234,8546,4731,2216,5424,1946,7425,2970,5575,3101,4200,829,2063,6493,2139,6162,8738,2042,351,2949,9390,1602,11477,19915,10085,1554,4205
191,system,n,0.94,200184,26726,8634,48210,36982,79322,9788,4525,14278,3069,1048,4343,821,7347,863,599,1529,13958,1917,3242,3321,5953,3880,2157,2554,9522,6331,10405,8668,4157,3633,27871,7422,1313,4880,815,3028,6157,1222,239,3408,6137,840,1219,2537,3919,117,842
201,government,n,0.94,191323,51238,4579,30872,48169,56080,16452,2237,1655,2907,1415,1453,739,1985,637,171,1221,17659,9663,5547,2890,5321,2641,452,3996,19923,1078,7685,15286,2003,2800,5521,797,987,10041,1084,4876,12328,3295,495,7494,10394,1231,1084,1621,1297,183,394
211,point,n,0.97,177481,52598,19328,32399,39271,33218,6300,2419,4198,2755,1420,6117,1246,4160,1081,526,2177,9455,1179,1629,2365,2428,5281,15480,1454,4234,2814,5564,3209,5246,3258,5081,1874,1938,9832,2363,5707,13772,4236,595,4913,9003,2177,4362,7816,4731,497,1922
221,all,r,0.93,177317,78464,46018,21778,17690,11880,4744,1236,2427,1496,870,2628,1371,3006,837,792,2371,5732,717,1077,1115,1180,3621,2988,1260,1536,823,2295,1258,1771,1176,1525,428,1068,12873,6351,12608,19071,7167,840,3541,9779,6234,10574,18512,10481,1731,4720
231,national,j,0.95,166359,29664,2962,39689,43301,50486,10753,1786,2920,3535,1260,9546,772,4583,1962,932,1640,15288,2606,4530,2554,3113,6215,6832,2163,11122,3584,8808,7667,5644,1950,8668,1790,1253,4547,922,2939,6650,2186,350,3084,8161,825,791,1247,462,113,349
241,book,n,0.98,154013,35441,26546,33307,31568,26316,8032,1573,3149,3559,2503,1950,1490,5029,1523,1300,3199,12480,687,1907,1680,2119,9931,1322,1442,3846,2061,2593,1764,5393,2466,2240,208,5745,3830,2587,4663,8162,2047,253,1580,10328,1991,5998,12407,4392,1121,2628
251,head,n,0.91,160131,16770,83140,26897,19429,11611,5041,1173,2690,1821,525,4483,1452,4341,923,1743,2705,6319,1427,1424,1359,1316,3541,3081,962,1450,698,1701,717,2594,585,1727,1398,741,2867,1218,2696,3306,876,189,1066,3663,889,18619,31918,17662,3089,11852
261,long,r,0.97,142007,22658,38976,32807,26234,20312,7114,2004,4253,2552,1349,4305,1239,5263,1167,879,2682,8667,1421,1892,1706,2302,4722,3801,1723,3464,1063,3292,2491,2931,1785,3051,692,1543,4282,1354,3558,5012,1086,146,1562,4424,1234,8994,16729,9318,1321,2614
271,power,n,0.95,141357,20950,12374,32457,25818,49391,8955,1567,5722,2567,1813,4216,928,3609,1146,359,1575,8936,2950,2129,1397,2964,3021,2398,2023,11769,1658,8308,8841,5240,3912,6735,1141,1787,3818,703,2038,5023,1243,177,2467,4843,638,2401,3978,4133,474,1388
281,stand,v,0.92,140937,21893,67559,22131,17265,10398,4747,857,2003,1873,911,3353,1028,3616,868,883,1992,5969,1007,1243,1183,908,3154,2411,1390,1639,390,1583,1069,2165,1100,1139,298,1015,3867,1270,3029,5025,1600,189,1380,4006,1527,14465,27946,12818,2434,9896
291,almost,r,0.98,127907,24686,32637,28570,23087,17791,6490,2006,3665,2655,934,3763,1288,4053,766,833,2117,7950,1186,1357,1383,2071,4701,3213,1226,2918,1061,3373,1905,2353,1188,2868,728,1397,4763,1675,4011,4921,1152,194,1524,5521,925,7790,13166,7787,1111,2783
301,white,j,0.96,126760,13448,37129,29474,21595,24083,6127,757,2501,3902,628,2250,1448,6582,2444,710,2125,7983,666,1409,1571,513,5463,2592,1398,4682,1678,4322,747,3070,1206,5394,1593,1391,2323,730,2190,1909,684,71,956,3576,1009,9231,17577,5568,1209,3544
311,idea,n,0.98,122140,27224,20006,26245,19515,28404,5962,2209,3722,3199,1077,1804,1228,3268,740,735,2301,6962,854,1187,1197,1836,4393,1519,1567,4122,3163,3888,3041,5626,2788,3144,472,2160,4123,1707,3879,5782,1690,254,1801,6720,1268,4782,7889,4740,849,1746
321,whether,c,0.96,121921,35239,9493,22269,23655,30996,5431,1564,3668,1370,1180,1771,727,3342,839,516,1861,8882,1478,2466,1686,2512,3015,2476,1140,3533,2874,6210,5359,2874,3004,4004,1777,1361,6132,1451,3915,9411,2821,427,3151,6843,1088,2171,4465,2296,220,341
331,anything,p,0.94,120362,37324,39403,18045,17350,6652,3778,1010,1878,1040,722,2267,1295,2198,886,645,2326,5583,655,1095,1111,1128,3279,3481,1018,866,436,1030,869,1023,788,698,126,816,6675,2402,6120,8483,2586,372,2053,5801,2832,9558,15521,9219,1377,3728
341,office,n,0.97,114791,22186,21532,23216,33751,12985,7291,2859,2384,1338,685,1543,1202,2465,1147,315,1987,13367,1715,2839,3773,4574,4064,1932,1487,2410,1197,1939,2728,726,772,1857,751,605,3909,1088,3096,4788,1587,238,1339,5142,999,6150,6557,3400,569,4856
351,party,n,0.96,112962,30900,11657,18155,25893,25869,7670,575,759,1081,577,1102,1398,1912,874,317,1890,10403,4525,2301,1691,942,3408,882,1741,9260,334,2991,8515,1051,1121,1776,252,569,5159,1441,3110,8102,2817,371,3249,5214,1437,2935,4937,1797,595,1393
361,win,v,0.93,111478,25724,7987,22158,48277,7092,5445,1212,1110,1128,343,6893,1201,1184,1756,729,1157,9090,1159,2425,2107,1662,4662,26128,1044,1777,227,1743,1061,655,399,762,61,407,4820,1752,3593,5772,2441,210,1723,4615,798,1743,3137,1563,687,857
371,teacher,n,0.88,116100,7578,7560,10163,14733,75912,2697,295,706,1024,744,620,376,630,462,895,1714,6103,414,1053,2449,298,2549,518,1349,5839,35183,11135,680,13361,1388,4241,1732,2353,1159,452,1153,1366,276,112,535,2190,335,1357,4199,973,536,495
381,second,m,0.97,103621,15313,14297,19374,24805,29373,3674,1206,2493,1676,1048,2930,1022,2761,761,555,1248,6022,846,1416,1745,1560,3573,8781,862,3912,3393,5746,3221,3538,2610,4213,1696,1044,2382,926,1977,3674,885,143,1330,3340,656,3297,5728,2985,444,1843
391,process,n,0.91,107341,17420,3280,18050,13523,54938,3371,1216,3603,2768,999,1378,312,2717,516,326,844,5168,983,980,924,1431,1944,981,1112,7329,7723,8760,6117,5866,3623,11323,3049,1148,3093,591,1743,4295,1053,130,2463,3585,467,672,1281,1039,63,225
401,serve,v,0.95,99660,11162,7354,28376,27805,24705,4307,1084,1614,1828,1216,1559,624,11872,1650,789,1833,9961,912,2025,2371,1516,8378,1387,1255,3792,3122,4566,2360,3487,1670,3697,1111,900,1964,550,1680,2558,706,141,1047,2124,392,1963,2957,1693,257,484
411,oh,u,0.89,103613,55348,35150,5922,4587,1308,992,193,368,220,116,740,844,540,245,487,1177,1467,86,203,234,114,1264,907,312,72,93,179,63,279,73,296,73,180,7800,5670,11082,9753,2161,274,1045,10237,7326,7869,11943,6433,1636,7269
421,behind,i,0.93,95047,14096,42253,15537,15006,7118,3386,767,1843,1276,411,2648,909,2083,493,476,1245,4606,780,957,1010,1016,2573,3300,764,1151,408,1006,814,1327,579,994,188,651,2521,987,2070,3558,928,162,825,2392,653,9126,15427,8139,1325,8236
431,class,n,0.94,91323,9947,10893,14682,20239,35346,3804,784,1201,1404,799,1233,605,1838,812,775,1427,7364,489,1036,2135,947,3307,3776,1185,4911,8034,7849,1829,5117,1482,3623,850,1651,1742,435,1344,1823,556,66,925,2423,633,2157,5451,1615,713,957
441,pass,v,0.97,86184,15666,25537,16933,17039,10387,4049,900,2572,1307,576,2550,695,2058,500,525,1201,5798,673,1255,1429,1032,2244,3424,1184,1712,656,1454,1377,1201,789,2058,361,779,2775,789,2255,3370,1078,143,1551,3038,667,5316,10919,5306,892,3104
451,role,n,0.92,88666,12711,2713,15380,16456,41277,3651,514,1979,1187,1094,926,1087,1758,1604,330,1250,5576,1228,1342,931,1088,3756,1822,713,6716,5873,10150,4113,4862,2632,4175,1775,981,1985,792,1529,3094,606,104,1314,2839,448,693,1252,493,184,91
461,drug,n,0.94,86231,22765,4305,19909,20969,18022,5313,1708,2631,389,490,641,1130,4840,868,461,1438,9120,1058,2181,1958,1842,2405,1036,1369,1142,804,11068,1314,160,680,661,2008,185,4880,909,3814,4739,1129,129,1792,4209,1164,1037,1537,813,168,750
471,pull,v,0.91,87243,11478,46029,14590,11001,2823,2342,710,1526,831,236,2619,800,2658,433,758,1677,3494,585,742,804,804,1982,2055,535,357,161,402,227,379,246,612,129,310,2111,1073,1775,2420,680,107,624,2097,591,9143,16067,7496,1509,11814
481,son,n,0.97,80895,15079,20150,17096,19913,8079,3234,1306,811,1069,874,1429,1738,1601,1641,867,2526,7028,993,2080,1998,789,3510,2722,793,1098,352,1648,350,2394,1202,364,70,601,2818,1545,2824,2748,646,166,449,2350,1533,4861,9601,2778,765,2145
491,arm,n,0.91,84865,7696,45059,14786,8948,7098,2506,382,1593,857,341,2335,509,3762,352,707,1442,2742,1059,718,476,460,1261,1672,560,1459,111,636,1495,1083,293,1028,631,362,1734,518,1125,1430,325,41,750,1479,294,10026,18730,8784,1565,5954
501,building,n,0.97,78487,11714,16337,15609,22461,11807,3387,1178,1907,2229,443,1408,468,3183,454,309,643,8546,1222,1432,2798,2196,4337,868,1062,1431,1256,2468,1012,1719,620,2186,476,639,1921,512,1981,2525,567,107,976,2833,292,3645,5583,3082,431,3596
511,early,r,0.98,75605,17521,10618,15750,17999,13328,3443,1265,2028,1377,417,2060,786,2188,589,395,1202,5612,1283,1527,1255,2293,2394,3158,477,2122,1146,2457,1365,1821,1037,2064,723,593,2973,889,2008,4782,1271,162,1452,3422,562,2906,4419,1679,354,1260
521,space,n,0.96,75395,8436,13207,20729,14911,17903,2592,831,6600,2605,493,1672,435,3808,371,453,869,6159,456,908,1164,1443,3611,454,716,1568,592,3447,842,4310,1137,4492,730,785,1154,294,1056,2372,227,23,493,2651,166,2087,5114,4402,290,1314
531,couple,n,0.96,74871,22952,15583,16932,14662,4211,2272,1270,2333,702,553,2097,1347,2271,1392,353,2342,5141,271,832,1150,961,3585,2237,485,369,123,1199,530,545,509,423,223,290,3385,1788,3236,5482,1508,243,1086,4743,1481,3811,6212,3211,382,1967
541,court,n,0.94,74112,23514,4373,8953,20163,16885,3615,639,331,442,451,927,483,688,514,210,653,8174,886,3621,1651,1620,1225,2096,890,1651,500,1678,9892,864,1151,368,328,453,3264,2553,3618,5912,1376,295,1837,3953,706,1396,1417,882,229,449
551,industry,n,0.94,73055,12235,1137,18900,23728,17015,5410,4201,1630,1321,235,1759,593,2047,1050,30,624,7519,737,2026,1104,8156,2675,478,1033,2891,472,2525,3525,917,290,5309,884,202,2366,330,1299,2714,576,46,1489,3197,218,334,418,226,17,142
561,quite,r,0.96,69966,21719,15738,11684,8601,11692,2488,619,1770,983,587,1253,597,1800,352,256,979,2861,314,430,424,533,2124,1237,678,1508,807,2012,1426,1871,1166,1633,369,900,3706,1048,2595,5162,1147,185,1711,5474,691,3974,6119,4064,467,1114
571,wall,n,0.93,71390,5899,31853,16631,10119,6286,2629,566,2109,2166,312,1596,530,4862,263,513,1085,3655,541,589,635,406,2786,995,512,409,187,1169,298,1648,349,1113,594,519,1060,372,1108,1139,196,49,342,1392,241,6085,11486,7516,1001,5765
581,open,j,0.97,67218,7992,19303,13530,16127,9774,2054,502,1788,1102,517,3622,372,2001,390,368,814,4667,555,728,1329,740,2405,4855,848,1499,792,1589,1030,1072,776,1906,574,536,1354,455,1120,1895,531,70,633,1600,334,4106,7007,3856,638,3696
591,attention,n,0.97,65271,11153,12256,12633,10699,18205,2501,579,1507,1145,758,1391,474,1922,638,426,1292,3810,472,719,768,780,1930,1470,750,2480,2707,3682,1624,2935,1446,1801,798,732,2039,592,1478,2625,665,86,713,2411,544,3103,4230,3118,431,1374
601,cause,v,0.97,64531,11354,7614,18537,11175,15629,2800,556,3141,897,445,1996,396,5362,523,804,1617,4253,663,1106,796,1135,1363,995,864,1814,866,2251,1807,1103,928,3988,2529,343,2194,612,1349,2820,603,100,1036,2163,477,1730,2788,1907,270,919
611,culture,n,0.91,67128,6257,2403,11996,9896,36470,3459,505,1357,1701,1680,538,392,1054,542,96,672,3798,539,562,513,646,2846,310,682,7959,2915,7125,2064,7710,3483,1852,983,2379,744,226,786,1087,310,54,541,2310,199,328,1295,669,29,82
621,hundred,m,0.97,61266,12381,16716,13400,10385,7809,3376,803,2326,1785,281,1466,367,1670,242,324,760,3889,1071,957,795,1027,1479,538,629,1555,348,1240,713,933,599,1705,166,550,2260,622,2037,2358,463,98,1389,2808,346,4045,5578,4590,511,1992
631,place,v,0.96,60927,4619,10521,17063,11988,16418,1966,523,1931,1433,407,1434,282,6172,773,616,1526,4126,330,721,801,588,3565,1161,696,2185,1632,3111,1354,2498,1157,2536,1433,512,865,327,744,935,211,41,339,988,169,2450,4429,1874,350,1418
641,material,n,0.92,62440,6207,3242,15532,7646,29723,1921,671,3849,2704,453,1446,306,3155,203,322,502,2895,447,636,444,709,1930,171,414,3221,3245,3473,1728,4146,1624,9513,1816,957,740,211,631,1286,252,46,409,2534,98,769,1190,1001,63,219
651,thousand,m,0.97,58307,14084,11199,13218,12398,6994,3638,784,2241,1584,379,1280,384,1634,329,250,715,4678,1388,1165,861,1140,1489,576,1101,1634,205,1051,665,648,628,1580,110,473,2758,610,2152,3025,583,118,1642,2825,371,2732,3797,3098,318,1254
661,security,n,0.95,58914,16857,4323,9126,14143,14243,3776,1190,1168,574,275,359,298,606,293,88,499,4668,2470,1596,758,2369,851,568,863,5112,356,1340,4303,212,454,1997,284,185,2407,617,1952,5199,1482,234,1540,3121,305,1048,996,1419,103,757
671,officer,n,0.96,57617,12361,8999,8199,19689,8032,2956,825,441,1527,213,334,418,348,561,175,401,7873,1673,2017,3422,1948,1260,485,1011,1593,421,846,1055,365,304,2885,333,230,2467,897,1878,2660,556,207,908,2135,653,2154,2374,1841,366,2264
681,goal,n,0.93,58728,5992,1665,11665,13222,26134,2150,1015,1358,844,519,1695,221,1887,776,432,768,3279,578,744,926,1073,1536,4490,596,2930,4892,6087,2326,2680,1596,3608,1420,595,1067,312,829,1228,269,55,777,1284,171,409,591,435,110,120
691,plan,v,0.96,55829,9048,6716,13082,17803,8921,2358,1527,1557,982,283,1448,498,2133,837,393,1066,6123,892,1527,1634,3022,2488,1541,576,1024,1536,1576,833,910,269,1918,592,263,1486,524,1215,2331,541,100,700,1787,364,1909,2593,1469,270,475
701,reduce,v,0.93,57029,5964,1558,17127,10697,21626,3049,1073,1949,937,386,1726,180,6124,490,202,1011,3826,518,895,788,1766,1533,464,907,2364,1400,3762,2498,930,1021,6595,2725,331,1196,224,676,1326,270,33,840,1145,254,340,690,428,23,77
711,share,v,0.97,54010,8231,7554,13721,10395,13915,2195,913,1780,1006,1013,1129,673,1937,981,533,1561,3658,520,727,741,860,2125,1094,670,2233,1835,2641,1272,1938,1206,1625,397,768,1350,593,1119,1940,370,71,621,1690,477,1962,3125,1604,296,567
721,hot,j,0.95,54601,7224,15047,17751,11417,2759,1820,898,2124,629,116,2252,795,5459,899,657,2102,3808,190,410,488,847,3964,1377,333,202,68,320,177,225,100,1295,177,195,1046,694,1426,1427,337,75,260,1535,424,3841,6775,2526,582,1323
731,article,n,0.93,54871,4020,4411,11686,9332,25302,2611,487,1579,1291,952,1094,262,1912,599,224,675,3059,381,931,856,530,996,288,2291,3802,3112,4222,3251,2933,1708,3871,1400,1003,637,204,415,818,414,56,213,1110,153,734,3036,352,91,198
741,career,n,0.95,52101,7964,3308,12458,17942,10322,2310,706,694,1597,255,1798,1105,915,1715,195,1168,4004,238,1162,905,940,3068,7181,444,633,3323,2135,514,1001,431,1484,230,571,1288,575,1410,1653,380,85,487,1668,418,1072,1241,647,106,242
751,lie,v,0.95,51657,9286,17900,11089,5974,6907,2044,318,2975,714,408,1106,344,1591,303,265,1021,2323,382,465,399,281,1003,523,598,825,367,1077,609,1297,782,1123,246,581,1544,698,1397,1979,1094,114,446,1164,850,3668,7668,3078,477,3009
761,list,n,0.96,50678,8635,5101,13465,14031,9211,2293,1806,2038,606,384,1457,481,2358,660,334,1048,5127,549,845,820,1307,2491,2475,417,1161,1038,1485,966,1110,602,1603,634,612,1229,614,1365,2094,549,146,483,1815,340,1440,1849,954,232,626
771,left,j,0.95,50479,5441,12531,16299,8858,7003,1906,504,1724,1816,243,3031,853,4259,545,473,945,2249,247,392,488,277,1154,3720,331,678,234,742,429,1183,335,1423,1641,338,816,313,658,1557,568,81,274,853,321,3032,5050,2662,408,1379
781,particularly,r,0.95,50329,9852,3462,9936,8513,18433,2155,564,1411,971,520,1052,280,1862,313,160,648,2926,565,666,567,919,1504,912,454,3229,1642,3791,2224,2243,1235,2686,840,543,1766,370,989,2272,599,96,1101,2416,243,953,1401,888,70,150
791,attack,n,0.93,50898,16544,3839,9916,13547,6799,3493,284,897,1257,308,670,428,1511,294,130,644,4755,2734,2169,828,629,901,802,729,2247,168,713,1173,426,527,821,363,361,2093,519,1865,5273,1418,235,1367,3521,253,948,1168,1077,114,532
801,election,n,0.91,51322,21158,773,6401,13597,9287,4271,179,132,310,330,141,268,85,267,10,408,6168,2075,1699,1120,470,551,190,1324,4806,63,761,2296,217,536,430,37,141,3056,645,1532,5903,2062,328,2344,4737,551,182,287,182,31,91
811,arrive,v,0.97,47435,6515,13147,10872,10786,5698,2531,608,1194,1269,332,1336,624,1438,285,302,953,3921,877,721,738,530,2109,1437,453,1040,330,1105,408,903,399,948,122,443,1329,452,946,1448,257,51,576,1273,183,3134,5614,2480,571,1348
821,glass,n,0.91,49686,3106,24967,11875,6050,2990,1254,356,1248,2571,113,800,321,3768,233,288,923,2108,175,251,362,329,2266,305,254,158,50,338,112,680,81,1097,132,342,521,300,614,501,66,22,98,797,187,5675,11086,3738,591,3877
831,ok,r,0.82,54697,46910,3455,1529,2433,353,204,52,305,40,48,296,115,136,18,138,177,840,49,150,129,98,433,643,91,10,36,51,23,105,8,99,13,8,2048,6406,9497,9245,3034,378,212,5767,10323,215,1794,451,449,546
841,gun,n,0.94,47305,13111,14178,8495,9103,2021,2040,329,475,1238,81,2659,536,360,218,186,373,3690,666,976,917,174,1039,585,1056,372,39,294,575,195,97,258,42,149,2830,928,2321,2548,962,58,688,2024,752,2633,3303,1911,246,6085
851,truth,n,0.97,45155,11158,10700,8104,5785,9042,2164,238,725,552,1257,584,430,654,481,132,887,1979,258,421,325,177,1191,551,883,849,246,792,1440,1752,2387,322,46,1208,2099,798,1696,2404,963,143,562,1399,1094,2809,4396,2235,334,926
861,rather,r,0.96,44934,8961,8323,7767,5588,14040,1832,390,1036,849,695,680,327,1024,162,131,641,1722,216,367,306,384,1284,696,613,2025,844,2302,1741,2883,1840,1259,276,870,1536,360,1247,2204,537,130,660,1926,361,2014,3485,2062,262,500
871,design,v,0.94,45946,4308,2258,13802,8407,17089,2166,992,2622,1246,208,1821,236,3225,381,246,659,3127,259,494,530,1077,2082,427,411,1374,2760,2767,1324,1334,665,5159,1236,470,836,217,703,866,157,22,410,964,133,500,734,853,42,129
881,sound,v,0.94,45311,10896,16768,8196,6264,2500,1743,586,916,338,308,1015,855,978,215,336,906,2247,175,286,321,385,1589,828,433,231,181,298,251,690,167,308,67,307,1643,734,1706,2060,693,167,471,2907,515,4368,6106,4295,694,1305
891,green,j,0.94,44673,3406,13029,13433,10583,3917,1529,388,1082,818,148,2073,446,5060,573,361,955,3344,299,374,580,396,2904,2281,405,314,209,439,211,418,148,1794,190,194,458,284,545,622,181,43,164,960,149,3056,5784,2788,530,871
901,that,r,0.96,43359,12215,7625,6372,4813,12040,1370,515,895,432,388,728,336,862,186,154,506,1462,129,285,263,460,910,968,336,1203,987,2649,1216,2047,1431,1593,355,559,2374,739,1647,2767,765,109,911,2254,649,1762,3009,1982,243,629
911,tonight,r,0.87,47549,31719,9313,1819,4155,205,317,34,116,59,30,196,384,154,92,122,315,1184,176,335,296,67,896,1128,73,16,6,20,32,35,20,24,1,51,8759,968,2751,9777,3346,723,3525,1104,766,2672,3048,1611,419,1563
921,respond,v,0.96,42139,8730,5194,7719,7291,13041,1777,368,1172,637,700,683,278,947,264,247,646,2599,492,702,561,650,1019,753,515,1722,2360,2621,1122,1420,1176,1346,880,394,1534,379,929,2323,674,119,857,1502,413,1306,1895,1246,129,618
931,employee,n,0.93,42824,5470,1704,10715,17140,7720,2902,4157,523,546,250,475,184,646,544,68,420,6008,400,1483,1305,5585,1309,343,707,702,597,1550,1790,135,495,1032,1343,76,1094,250,712,1021,270,50,649,1224,200,368,652,340,41,303
941,wide,j,0.96,41233,2732,9925,10952,7177,10228,1309,391,2005,968,361,2208,240,2447,229,267,527,2052,308,427,298,581,1367,1861,283,1276,851,1879,780,1178,656,2636,612,360,404,141,341,603,123,22,272,747,79,2266,3492,2216,328,1623
951,structure,n,0.90,43638,2712,2429,8899,4662,24859,1395,392,2760,1200,499,677,106,1388,123,91,268,1758,285,252,301,446,1010,295,315,3162,2058,4178,2002,3928,1995,5814,1222,500,421,84,295,539,122,13,398,796,44,429,829,872,40,259
