rank,lemma,PoS,DISPERSION,TOT FREQ,SPOKEN,FICTION,POP MAG,NEWSPAPER,ACADEMIC,MAG:News/Opin,MAG:Financial,MAG:Sci/Tech,MAG:Soc/Arts,MAG:Religion,MAG:Sports,MAG:Entertain,MAG:Home/Health,MAG:Afric-Amer,MAG:Children,MAG:Women/Men,NEWS:Misc,NEWS:News_Intl,NEWS:News_Natl,NEWS:News_Local,NEWS:Money,NEWS:Life,NEWS:Sports,NEWS:Editorial,ACAD:History,ACAD:Education,ACAD:Geog/SocSci,ACAD:Law/PolSci,ACAD:Humanities,ACAD:Phil/Rel,ACAD:Sci/Tech,ACAD:Medicine,ACAD:Misc,SPOK:ABC,SPOK:NBC,SPOK:CBS,SPOK:CNN,SPOK:FOX,SPOK:MSNBC,SPOK:PBS,SPOK:NPR,SPOK:Indep,FIC:Gen (Book),FIC:Gen (Jrnl),FIC:SciFi/Fant,FIC:Juvenile,FIC:Movies
31451,ten-foot,j,0.87,130,3,70,43,3,11,13,2,7,1,1,4,2,3,2,0,8,1,0,1,0,0,1,0,0,1,0,1,3,1,1,2,0,2,0,0,0,3,0,0,0,0,0,20,29,11,0,10
31461,botanical,n,0.78,145,4,6,110,23,2,2,2,0,0,0,2,0,84,3,0,17,9,0,0,0,0,13,1,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,2,2,1,1,0
31471,tankard,n,0.81,138,4,75,44,4,11,2,0,1,2,0,1,0,38,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,4,0,22,12,30,4,7
31481,glyph,n,0.82,137,1,53,19,7,57,3,0,12,3,0,0,0,0,0,1,0,4,1,0,0,0,1,1,0,7,0,33,0,4,4,8,0,1,0,0,0,0,0,0,0,1,0,3,12,22,0,16
31491,bluefin,n,0.63,179,7,9,57,21,85,4,0,10,4,0,35,0,3,0,0,1,7,0,4,0,1,2,4,3,64,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0
31501,humbled,j,0.90,125,34,27,28,28,8,10,2,1,2,3,2,4,2,1,0,1,9,0,2,1,3,3,10,0,0,0,1,1,1,3,0,0,2,4,1,7,13,3,0,0,5,1,8,14,3,0,2
31511,grade-level,j,0.70,159,1,0,5,22,131,2,1,0,0,0,0,0,0,0,0,2,3,0,0,3,0,14,0,2,1,90,12,0,11,0,4,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31521,azimuth,n,0.79,142,1,5,108,2,26,1,0,99,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1
31531,forestland,n,0.78,143,7,8,59,6,63,12,0,3,4,0,30,1,7,0,0,2,2,0,2,1,1,0,0,0,7,0,4,1,0,0,50,0,1,1,0,3,0,0,0,0,3,0,1,1,5,0,1
31541,Slovenian,j,0.75,148,22,15,19,52,40,9,0,0,2,1,7,0,0,0,0,0,4,26,5,1,1,10,2,3,27,0,1,10,0,1,1,0,0,9,0,1,0,0,0,10,2,0,1,14,0,0,0
31551,passenger-side,j,0.86,130,13,55,31,28,2,3,1,6,0,0,3,3,12,1,0,2,6,0,8,1,5,6,0,2,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,5,1,0,19,15,9,2,10
31561,six-month-old,j,0.88,127,45,17,39,17,9,6,4,5,3,0,2,1,4,1,0,13,4,4,1,0,1,3,2,2,1,2,1,0,0,0,3,1,1,14,8,7,4,1,0,1,6,4,6,6,2,1,2
